text,category,urgency
amazonhelp details sent please check,General,Low
virgintrains least third time year miss meeting especially took train first place often late refund doesnt qualify next season car,Billing,Medium
askplaystation less billing issue updated exp date acct ps wasnt able renew make sure stays currentnot lose anything,Billing,Medium
oh happy halloween chipotletweets httpstcouvcoanuwe,General,Low
btw chipotletweets giving burritos dress halloween call chipotle make sure theyre select ones,General,Low
askpaypal serious problem need help,Technical,High
excited announce university cambridge using dropbox business power collaboration httpstcosbiydsycdk httpstcofmxgf,General,Low
coxhelp push hard finally got team lead reach oncall tech outage issue solved csissue csfail,Technical,Medium
delta even worse,General,Low
americanair could someone lax team available guide gate asap,General,High
marksandspencer arent require charge bag paper bags shops airports board trains aeroplanes ships bags contain certain items unwrapped food raw meat fish food safety risk prescription medicines uncovered blades seeds bulbs amp,Billing,Low
hulusupport think understand works frustrating used much userfriendly update,General,Low
atviassist yes beta code,General,Low
hpsupport laserjet pro mw print drivers install windows finds printer get error hpcswus hpprnt,Technical,Medium
sprintcare worst customer service,General,High
askpaypal serious problem need help,Technical,High
hulusupport thanks,General,Low
worst isp ive ever,General,High
need correct false charges trip lexington ky saturday want back lyingdriver theft,Billing,Low
thank applesupport updated phone even slower barely works thank ruining phone,General,Low
virgintrains thanks,General,Low
hey applesupport anyone else upgraded ios yall issues capital mail app puts,Technical,Medium
southwestair would receiving errors try checkin flight takes keep getting error messages,Technical,Medium
adobecare guys saying weeks product went great unable work terrible disappointed,General,Medium
southwestair guys amazing seriously thank bottom heart,General,High
askspectrum happy discuss problem dm thru link sent,Technical,Medium
guys figure xbox one x project scorpio edition first expected delivery shipping date week away,Delivery,Low
virgintrains hi new app option buy open return,General,Low
tmobilehelp trying redeem free tuesday code letting telling theres error get help,Technical,Medium
seems like problem resolved technicians sent house capable surpassed expectations,Technical,Medium
next day turnaround outage issue coxhelp csfail comes dealing outages csfail outageprobs,Technical,Medium
verizonsupport cuts every minutes ridiculous,General,Low
playerunknowns battlegrounds available preorder xbox one consoles httpstcobqlhcbdqab httpstcomuliqehqo,General,Low
askebay kindly check message needful worst service,General,High
airasiasupport thank much,General,Low
amazonhelp already contacted times last month got assurance matter escalated amp new status provided day,Delivery,Medium
askebay instead telling contact seller guys contact seller,General,Low
virgintrains euston im waiting bham int also late,Delivery,Medium
coxhelp lookong forward binge strangerthingsseason hope internet lot outages neighborhood lately,Delivery,Medium
airasiasupport refunding trip bali volcano eruption urgently refund,Billing,High
really hadthe worst experience ever start finish southwestair never fly internationally,General,High
askplaystation ps lets load games cant anything eg fortnite cant press x continue,General,Low
adobecare pretty much explained issue quoted tweet dragging image onto canvas longer center snaps,Technical,Medium
askspectrum happy discuss problem dm thru link sent,Technical,Medium
airasiasupport cant see see itenerary birthday,General,Low
atviassist tried people came back,General,Low
atviassist im trying buy digital deluxe edition ps store keep receiving error message,Technical,Medium
airasiasupport lost booking chua loreen lee flight z taipeimanila email,General,Low
check tiny trickortreaters dressed nicu hey americanair youngest pilot training halloween httpstcocaxjhiag,General,Low
